n-2,n-1,n,n+1,n+2
20.544,20.66,20.255,19.615,19.487
21.099,20.544,20.66,20.255,19.615
20.589,21.099,20.544,20.66,20.255
19.039,20.589,21.099,20.544,20.66
18.712,19.039,20.589,21.099,20.544
18.88,18.712,19.039,20.589,21.099
18.337,18.88,18.712,19.039,20.589
18.48,18.337,18.88,18.712,19.039
18.91,18.48,18.337,18.88,18.712
19.617,18.91,18.48,18.337,18.88
19.48,19.617,18.91,18.48,18.337
19.183,19.48,19.617,18.91,18.48
19.358,19.183,19.48,19.617,18.91
19.381,19.358,19.183,19.48,19.617
19.269,19.381,19.358,19.183,19.48
19.569,19.269,19.381,19.358,19.183
19.491,19.569,19.269,19.381,19.358
19.86,19.491,19.569,19.269,19.381
18.767,19.86,19.491,19.569,19.269
18.442,18.767,19.86,19.491,19.569
18.26,18.442,18.767,19.86,19.491
17.908,18.26,18.442,18.767,19.86
17.881,17.908,18.26,18.442,18.767
17.666,17.881,17.908,18.26,18.442
17.882,17.666,17.881,17.908,18.26
18.287,17.882,17.666,17.881,17.908
18.557,18.287,17.882,17.666,17.881
18.746,18.557,18.287,17.882,17.666
19.12,18.746,18.557,18.287,17.882
18.907,19.12,18.746,18.557,18.287
19.026,18.907,19.12,18.746,18.557
18.878,19.026,18.907,19.12,18.746
19.069,18.878,19.026,18.907,19.12
19.464,19.069,18.878,19.026,18.907
19.731,19.464,19.069,18.878,19.026
20.085,19.731,19.464,19.069,18.878
20.272,20.085,19.731,19.464,19.069
20.698,20.272,20.085,19.731,19.464
20.349,20.698,20.272,20.085,19.731
20.742,20.349,20.698,20.272,20.085
20.482,20.742,20.349,20.698,20.272
20.614,20.482,20.742,20.349,20.698
19.842,20.614,20.482,20.742,20.349
20.122,19.842,20.614,20.482,20.742
19.894,20.122,19.842,20.614,20.482
20.139,19.894,20.122,19.842,20.614
20.362,20.139,19.894,20.122,19.842
20.197,20.362,20.139,19.894,20.122
19.868,20.197,20.362,20.139,19.894
18.6,19.868,20.197,20.362,20.139
18.535,18.6,19.868,20.197,20.362
18.328,18.535,18.6,19.868,20.197
18.617,18.328,18.535,18.6,19.868
18.719,18.617,18.328,18.535,18.6
18.668,18.719,18.617,18.328,18.535
18.713,18.668,18.719,18.617,18.328
18.84,18.713,18.668,18.719,18.617
18.594,18.84,18.713,18.668,18.719
18.225,18.594,18.84,18.713,18.668
19.194,18.225,18.594,18.84,18.713
18.958,19.194,18.225,18.594,18.84
19.132,18.958,19.194,18.225,18.594
19.236,19.132,18.958,19.194,18.225
19.188,19.236,19.132,18.958,19.194
19.159,19.188,19.236,19.132,18.958
19.121,19.159,19.188,19.236,19.132
19.667,19.121,19.159,19.188,19.236
20.352,19.667,19.121,19.159,19.188
20.738,20.352,19.667,19.121,19.159
20.806,20.738,20.352,19.667,19.121
21.168,20.806,20.738,20.352,19.667
21.125,21.168,20.806,20.738,20.352
21.042,21.125,21.168,20.806,20.738
21.421,21.042,21.125,21.168,20.806
21.768,21.421,21.042,21.125,21.168
21.587,21.768,21.421,21.042,21.125
21.885,21.587,21.768,21.421,21.042
21.42,21.885,21.587,21.768,21.421
20.954,21.42,21.885,21.587,21.768
21.255,20.954,21.42,21.885,21.587
21.931,21.255,20.954,21.42,21.885
21.817,21.931,21.255,20.954,21.42
22.094,21.817,21.931,21.255,20.954
22.178,22.094,21.817,21.931,21.255
22.092,22.178,22.094,21.817,21.931
21.908,22.092,22.178,22.094,21.817
22.275,21.908,22.092,22.178,22.094
21.915,22.275,21.908,22.092,22.178
21.688,21.915,22.275,21.908,22.092
22.096,21.688,21.915,22.275,21.908
21.965,22.096,21.688,21.915,22.275
21.87,21.965,22.096,21.688,21.915
22.063,21.87,21.965,22.096,21.688
21.723,22.063,21.87,21.965,22.096
21.674,21.723,22.063,21.87,21.965
21.908,21.674,21.723,22.063,21.87
21.544,21.908,21.674,21.723,22.063
21.75,21.544,21.908,21.674,21.723
21.551,21.75,21.544,21.908,21.674
21.001,21.551,21.75,21.544,21.908
20.773,21.001,21.551,21.75,21.544
21.575,20.773,21.001,21.551,21.75
21.424,21.575,20.773,21.001,21.551
21.82,21.424,21.575,20.773,21.001
22.367,21.82,21.424,21.575,20.773
22.443,22.367,21.82,21.424,21.575
22.402,22.443,22.367,21.82,21.424
22.665,22.402,22.443,22.367,21.82
22.584,22.665,22.402,22.443,22.367
23.085,22.584,22.665,22.402,22.443
23.181,23.085,22.584,22.665,22.402
23.46,23.181,23.085,22.584,22.665
23.544,23.46,23.181,23.085,22.584
23.67,23.544,23.46,23.181,23.085
24.259,23.67,23.544,23.46,23.181
24.621,24.259,23.67,23.544,23.46
25.271,24.621,24.259,23.67,23.544
25.391,25.271,24.621,24.259,23.67
26.15,25.391,25.271,24.621,24.259
25.7,26.15,25.391,25.271,24.621
26.03,25.7,26.15,25.391,25.271
25.735,26.03,25.7,26.15,25.391
24.987,25.735,26.03,25.7,26.15
24.823,24.987,25.735,26.03,25.7
24.735,24.823,24.987,25.735,26.03
24.458,24.735,24.823,24.987,25.735
24.534,24.458,24.735,24.823,24.987
24.59,24.534,24.458,24.735,24.823
24.654,24.59,24.534,24.458,24.735
25.133,24.654,24.59,24.534,24.458
25.113,25.133,24.654,24.59,24.534
24.736,25.113,25.133,24.654,24.59
25.196,24.736,25.113,25.133,24.654
25.615,25.196,24.736,25.113,25.133
25.92,25.615,25.196,24.736,25.113
25.189,25.92,25.615,25.196,24.736
24.904,25.189,25.92,25.615,25.196
25.313,24.904,25.189,25.92,25.615
25.087,25.313,24.904,25.189,25.92
25.616,25.087,25.313,24.904,25.189
24.71,25.616,25.087,25.313,24.904
25.158,24.71,25.616,25.087,25.313
25.298,25.158,24.71,25.616,25.087
26.16,25.298,25.158,24.71,25.616
26.256,26.16,25.298,25.158,24.71
25.816,26.256,26.16,25.298,25.158
26.895,25.816,26.256,26.16,25.298
25.72,26.895,25.816,26.256,26.16
25.789,25.72,26.895,25.816,26.256
25.212,25.789,25.72,26.895,25.816
25.19,25.212,25.789,25.72,26.895
25.541,25.19,25.212,25.789,25.72
24.366,25.541,25.19,25.212,25.789
24.017,24.366,25.541,25.19,25.212
24.687,24.017,24.366,25.541,25.19
24.553,24.687,24.017,24.366,25.541
24.311,24.553,24.687,24.017,24.366
23.992,24.311,24.553,24.687,24.017
23.875,23.992,24.311,24.553,24.687
23.605,23.875,23.992,24.311,24.553
23.342,23.605,23.875,23.992,24.311
23.848,23.342,23.605,23.875,23.992
23.369,23.848,23.342,23.605,23.875
23.522,23.369,23.848,23.342,23.605
23.341,23.522,23.369,23.848,23.342
23.2,23.341,23.522,23.369,23.848
23.076,23.2,23.341,23.522,23.369
22.475,23.076,23.2,23.341,23.522
22.375,22.475,23.076,23.2,23.341
22.707,22.375,22.475,23.076,23.2
22.595,22.707,22.375,22.475,23.076
22.393,22.595,22.707,22.375,22.475
22.301,22.393,22.595,22.707,22.375
22.676,22.301,22.393,22.595,22.707
23.807,22.676,22.301,22.393,22.595
23.896,23.807,22.676,22.301,22.393
23.8,23.896,23.807,22.676,22.301
24.32,23.8,23.896,23.807,22.676
24.716,24.32,23.8,23.896,23.807
24.231,24.716,24.32,23.8,23.896
23.492,24.231,24.716,24.32,23.8
22.918,23.492,24.231,24.716,24.32
23.162,22.918,23.492,24.231,24.716
23.207,23.162,22.918,23.492,24.231
22.812,23.207,23.162,22.918,23.492
22.462,22.812,23.207,23.162,22.918
22.409,22.462,22.812,23.207,23.162
22.19,22.409,22.462,22.812,23.207
23.17,22.19,22.409,22.462,22.812
23.056,23.17,22.19,22.409,22.462
22.81,23.056,23.17,22.19,22.409
23.352,22.81,23.056,23.17,22.19
23.06,23.352,22.81,23.056,23.17
22.858,23.06,23.352,22.81,23.056
23.121,22.858,23.06,23.352,22.81
22.989,23.121,22.858,23.06,23.352
22.94,22.989,23.121,22.858,23.06
22.819,22.94,22.989,23.121,22.858
22.529,22.819,22.94,22.989,23.121
22.291,22.529,22.819,22.94,22.989
22.533,22.291,22.529,22.819,22.94
22.485,22.533,22.291,22.529,22.819
21.545,22.485,22.533,22.291,22.529
21.924,21.545,22.485,22.533,22.291
22.328,21.924,21.545,22.485,22.533
22.195,22.328,21.924,21.545,22.485
22.013,22.195,22.328,21.924,21.545
22.432,22.013,22.195,22.328,21.924
22.523,22.432,22.013,22.195,22.328
22.263,22.523,22.432,22.013,22.195
22.481,22.263,22.523,22.432,22.013
22.316,22.481,22.263,22.523,22.432
22.339,22.316,22.481,22.263,22.523
22.815,22.339,22.316,22.481,22.263
22.852,22.815,22.339,22.316,22.481
23.135,22.852,22.815,22.339,22.316
23.496,23.135,22.852,22.815,22.339
23.435,23.496,23.135,22.852,22.815
24.297,23.435,23.496,23.135,22.852
24.781,24.297,23.435,23.496,23.135
24.9,24.781,24.297,23.435,23.496
25.167,24.9,24.781,24.297,23.435
24.944,25.167,24.9,24.781,24.297
25.105,24.944,25.167,24.9,24.781
25.346,25.105,24.944,25.167,24.9
25.301,25.346,25.105,24.944,25.167
24.772,25.301,25.346,25.105,24.944
24.318,24.772,25.301,25.346,25.105
24.542,24.318,24.772,25.301,25.346
24.157,24.542,24.318,24.772,25.301
23.911,24.157,24.542,24.318,24.772
23.231,23.911,24.157,24.542,24.318
23.507,23.231,23.911,24.157,24.542
24.073,23.507,23.231,23.911,24.157
23.949,24.073,23.507,23.231,23.911
24.12,23.949,24.073,23.507,23.231
24.191,24.12,23.949,24.073,23.507
24.088,24.191,24.12,23.949,24.073
24.592,24.088,24.191,24.12,23.949
24.449,24.592,24.088,24.191,24.12
24.17,24.449,24.592,24.088,24.191
24.445,24.17,24.449,24.592,24.088
23.883,24.445,24.17,24.449,24.592
23.264,23.883,24.445,24.17,24.449
23.349,23.264,23.883,24.445,24.17
23.477,23.349,23.264,23.883,24.445
23.17,23.477,23.349,23.264,23.883
22.514,23.17,23.477,23.349,23.264
22.665,22.514,23.17,23.477,23.349
22.705,22.665,22.514,23.17,23.477
22.658,22.705,22.665,22.514,23.17
22.532,22.658,22.705,22.665,22.514
22.608,22.532,22.658,22.705,22.665
22.644,22.608,22.532,22.658,22.705
22.536,22.644,22.608,22.532,22.658
22.047,22.536,22.644,22.608,22.532
21.485,22.047,22.536,22.644,22.608
22.467,21.485,22.047,22.536,22.644
22.694,22.467,21.485,22.047,22.536
22.425,22.694,22.467,21.485,22.047
22.679,22.425,22.694,22.467,21.485
22.907,22.679,22.425,22.694,22.467
22.611,22.907,22.679,22.425,22.694
22.204,22.611,22.907,22.679,22.425
22.337,22.204,22.611,22.907,22.679
22.794,22.337,22.204,22.611,22.907
23.801,22.794,22.337,22.204,22.611
23.885,23.801,22.794,22.337,22.204
23.796,23.885,23.801,22.794,22.337
23.9,23.796,23.885,23.801,22.794
24.177,23.9,23.796,23.885,23.801
24.056,24.177,23.9,23.796,23.885
24.373,24.056,24.177,23.9,23.796
24.802,24.373,24.056,24.177,23.9
23.918,24.802,24.373,24.056,24.177
24.221,23.918,24.802,24.373,24.056
24.006,24.221,23.918,24.802,24.373
24.006,24.006,24.221,23.918,24.802
24.11,24.006,24.006,24.221,23.918
23.55,24.11,24.006,24.006,24.221
23.775,23.55,24.11,24.006,24.006
23.894,23.775,23.55,24.11,24.006
23.656,23.894,23.775,23.55,24.11
23.112,23.656,23.894,23.775,23.55
23.23,23.112,23.656,23.894,23.775
23.422,23.23,23.112,23.656,23.894
23.659,23.422,23.23,23.112,23.656
23.791,23.659,23.422,23.23,23.112
23.779,23.791,23.659,23.422,23.23
23.116,23.779,23.791,23.659,23.422
23.488,23.116,23.779,23.791,23.659
23.392,23.488,23.116,23.779,23.791
23.269,23.392,23.488,23.116,23.779
24.326,23.269,23.392,23.488,23.116
25.292,24.326,23.269,23.392,23.488
25.461,25.292,24.326,23.269,23.392
25.582,25.461,25.292,24.326,23.269
25.575,25.582,25.461,25.292,24.326
25.547,25.575,25.582,25.461,25.292
25.782,25.547,25.575,25.582,25.461
24.877,25.782,25.547,25.575,25.582
24.649,24.877,25.782,25.547,25.575
25.318,24.649,24.877,25.782,25.547
25.233,25.318,24.649,24.877,25.782
25.381,25.233,25.318,24.649,24.877
25.255,25.381,25.233,25.318,24.649
24.995,25.255,25.381,25.233,25.318
25.144,24.995,25.255,25.381,25.233
25.795,25.144,24.995,25.255,25.381
26.394,25.795,25.144,24.995,25.255
26.271,26.394,25.795,25.144,24.995
26.14,26.271,26.394,25.795,25.144
26.239,26.14,26.271,26.394,25.795
26.234,26.239,26.14,26.271,26.394
25.987,26.234,26.239,26.14,26.271
26.129,25.987,26.234,26.239,26.14
26.174,26.129,25.987,26.234,26.239
26.501,26.174,26.129,25.987,26.234
26.1,26.501,26.174,26.129,25.987
26.194,26.1,26.501,26.174,26.129
25.901,26.194,26.1,26.501,26.174
26.223,25.901,26.194,26.1,26.501
26.087,26.223,25.901,26.194,26.1
26.05,26.087,26.223,25.901,26.194
26.111,26.05,26.087,26.223,25.901
25.857,26.111,26.05,26.087,26.223
26.025,25.857,26.111,26.05,26.087
25.969,26.025,25.857,26.111,26.05
25.856,25.969,26.025,25.857,26.111
27.812,25.856,25.969,26.025,25.857
27.693,27.812,25.856,25.969,26.025
28.039,27.693,27.812,25.856,25.969
28.146,28.039,27.693,27.812,25.856
28.031,28.146,28.039,27.693,27.812
28.002,28.031,28.146,28.039,27.693
27.731,28.002,28.031,28.146,28.039
28.018,27.731,28.002,28.031,28.146
27.896,28.018,27.731,28.002,28.031
27.477,27.896,28.018,27.731,28.002
28.204,27.477,27.896,28.018,27.731
28.102,28.204,27.477,27.896,28.018
28.014,28.102,28.204,27.477,27.896
27.94,28.014,28.102,28.204,27.477
27.877,27.94,28.014,28.102,28.204
28.056,27.877,27.94,28.014,28.102
27.905,28.056,27.877,27.94,28.014
27.486,27.905,28.056,27.877,27.94
28.067,27.486,27.905,28.056,27.877
28.025,28.067,27.486,27.905,28.056
28.333,28.025,28.067,27.486,27.905
28.274,28.333,28.025,28.067,27.486
27.365,28.274,28.333,28.025,28.067
27.059,27.365,28.274,28.333,28.025
27.244,27.059,27.365,28.274,28.333
27.667,27.244,27.059,27.365,28.274
27.492,27.667,27.244,27.059,27.365
27.477,27.492,27.667,27.244,27.059
27.477,27.477,27.492,27.667,27.244
26.522,27.477,27.477,27.492,27.667
26.558,26.522,27.477,27.477,27.492
26.96,26.558,26.522,27.477,27.477
25.873,26.96,26.558,26.522,27.477
26.085,25.873,26.96,26.558,26.522
26.085,26.085,25.873,26.96,26.558
26.41,26.085,26.085,25.873,26.96
26.209,26.41,26.085,26.085,25.873
26.075,26.209,26.41,26.085,26.085
26.18,26.075,26.209,26.41,26.085
26.57,26.18,26.075,26.209,26.41
25.84,26.57,26.18,26.075,26.209
25.837,25.84,26.57,26.18,26.075
26.105,25.837,25.84,26.57,26.18
25.964,26.105,25.837,25.84,26.57
25.524,25.964,26.105,25.837,25.84
25.426,25.524,25.964,26.105,25.837
24.867,25.426,25.524,25.964,26.105
25.325,24.867,25.426,25.524,25.964
25.585,25.325,24.867,25.426,25.524
25.247,25.585,25.325,24.867,25.426
25.227,25.247,25.585,25.325,24.867
24.78,25.227,25.247,25.585,25.325
24.948,24.78,25.227,25.247,25.585
24.532,24.948,24.78,25.227,25.247
24.137,24.532,24.948,24.78,25.227
24.771,24.137,24.532,24.948,24.78
25.114,24.771,24.137,24.532,24.948
25.047,25.114,24.771,24.137,24.532
25.231,25.047,25.114,24.771,24.137
25.227,25.231,25.047,25.114,24.771
25.769,25.227,25.231,25.047,25.114
26.321,25.769,25.227,25.231,25.047
26.351,26.321,25.769,25.227,25.231
26.058,26.351,26.321,25.769,25.227
26.003,26.058,26.351,26.321,25.769
26.288,26.003,26.058,26.351,26.321
25.911,26.288,26.003,26.058,26.351
26.193,25.911,26.288,26.003,26.058
26.13,26.193,25.911,26.288,26.003
26.183,26.13,26.193,25.911,26.288
25.269,26.183,26.13,26.193,25.911
25.287,25.269,26.183,26.13,26.193
25.461,25.287,25.269,26.183,26.13
26.387,25.461,25.287,25.269,26.183
26.879,26.387,25.461,25.287,25.269
26.678,26.879,26.387,25.461,25.287
26.44,26.678,26.879,26.387,25.461
27.685,26.44,26.678,26.879,26.387
27.859,27.685,26.44,26.678,26.879
